id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
74761,0.277472,tcp,-,FIN,10,6,580,268,54.059511,254,252,15050.16797,6458.30957,2,1,28.049556,47.422602,1445.466887,66.670992,255,2376831954,2434783525,255,0.080525,0.040352,0.040173,58,45,0,0,10,1,4,4,2,10,0,0,0,4,10,0,Normal,0
99591,9e-06,udp,-,INT,2,0,102,0,111111.1072,254,0,45333332.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,51,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode,1
153812,8e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,1,1,1,6,0,0,0,3,6,0,Analysis,1
74889,0.393834,tcp,-,FIN,10,6,584,268,38.087113,254,252,10684.70508,4550.140625,2,1,40.217,66.219797,2083.449347,97.46543,255,326781583,3843915884,255,0.140422,0.062726,0.077696,58,45,0,0,4,1,1,1,1,1,0,0,0,2,2,0,Shellcode,1
48038,8e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,4,3,3,7,0,0,0,6,7,0,Analysis,1
85418,3e-06,igp,-,INT,2,0,180,0,333333.3215,254,0,239999984.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,10,2,8,8,8,10,0,0,0,8,10,0,Analysis,1
1584,2.038492,tcp,-,FIN,40,42,2558,23162,39.735256,31,29,9791.551758,88736.1875,7,14,53.636238,49.708438,3212.33397,3091.979715,255,1489421338,1966827430,255,0.000567,0.000442,0.000125,64,551,0,0,11,0,3,1,1,3,0,0,0,2,11,0,Normal,0
83575,2.39523,tcp,http,FIN,10,10,818,1274,7.932432,62,252,2461.558838,3830.947266,2,2,266.136667,250.123672,16098.54161,436.316188,255,3529846455,2093493306,255,0.265495,0.143445,0.12205,82,127,1,174,2,1,2,2,2,2,0,0,4,2,2,0,Analysis,1
6176,0.004682,tcp,-,FIN,18,18,4136,2456,7475.438174,31,29,6675780.0,3964118.0,7,7,0.256882,0.245824,12.813465,0.324481,255,2235149271,88763349,255,0.000615,0.0005,0.000115,230,136,0,0,3,0,3,1,1,3,0,0,0,4,6,0,Normal,0
25778,0.082159,tcp,-,FIN,72,74,4238,63516,1764.870606,31,29,407015.6875,6101145.5,7,30,1.137549,1.13275,70.79878,69.832894,255,2839974755,694868922,255,0.000728,0.000597,0.000131,59,858,0,0,5,0,2,1,1,4,0,0,0,6,6,0,Normal,0
10017,0.007968,tcp,ssh,FIN,32,26,3728,5578,7153.614335,31,29,3626506.0,5385542.0,7,7,0.257032,0.26668,14.912901,0.389508,255,3951472102,3952076492,255,0.001323,0.001166,0.000157,117,215,0,0,2,0,4,1,1,2,0,0,0,1,1,0,Normal,0
72263,9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,2,5,0,Backdoor,1
45324,1.02661,tcp,-,FIN,10,6,2516,268,14.611196,254,252,17650.32422,1745.550903,2,1,111.781222,181.137797,6730.993821,314.848844,255,3678052603,4101408710,255,0.184757,0.120916,0.063841,252,45,0,0,5,1,1,1,1,2,0,0,0,2,2,0,Normal,0
18011,0.001712,udp,-,CON,4,4,544,304,4088.785053,31,29,1906542.0,1065420.5,0,0,0.446667,0.206333,0.627439,0.286153,0,0,0,0,0.0,0.0,0.0,136,76,0,0,7,0,7,1,1,3,0,0,0,7,12,0,Normal,0
38151,0.034492,udp,-,CON,4,4,568,320,202.945605,31,29,98805.51563,55665.08203,0,0,6.328333,10.986667,8.93618,15.526887,0,0,0,0,0.0,0.0,0.0,142,80,0,0,9,0,3,1,1,3,0,0,0,2,6,0,Normal,0
74193,9e-06,stp,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,4,0,0,0,3,4,0,Backdoor,1
59624,3e-06,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,2,3,2,2,3,0,0,0,2,3,0,Analysis,1
74657,5e-06,udp,-,INT,2,0,78,0,200000.0051,254,0,62400000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,9,2,2,2,1,8,0,0,0,2,8,0,Normal,0
42333,1e-05,udp,-,INT,2,0,1064,0,100000.0025,254,0,425600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,2,2,2,2,1,2,0,0,0,2,2,0,Normal,0
93756,0.615155,tcp,http,FIN,10,8,814,1068,27.635312,62,252,9532.556641,12159.53711,2,2,68.350556,77.841,3458.468413,135.141594,255,1717542356,752095657,255,0.151427,0.069596,0.081831,81,134,1,132,8,1,1,1,1,7,0,0,1,1,7,0,Normal,0
20006,0.074858,tcp,-,FIN,48,50,2958,33044,1295.786649,31,29,309599.5,3460845.75,7,18,1.586128,1.51702,90.533358,88.957727,255,2650477756,540856605,255,0.00065,0.000522,0.000128,62,661,0,0,4,0,1,1,1,1,0,0,0,2,4,0,Normal,0
14607,0.001036,udp,dns,CON,2,2,146,178,2895.752973,31,29,563706.5625,687258.6875,0,0,0.006,0.002,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,4,1,1,1,0,0,0,4,4,0,Normal,0
116530,1.1e-05,udp,-,INT,2,0,1448,0,90909.0902,254,0,526545440.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,724,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode,1
2136,0.021166,tcp,-,FIN,16,18,1540,1644,1559.104186,31,29,545780.9375,586979.125,4,4,1.390133,1.195529,83.679524,2.294471,255,1977169355,4127281680,255,0.000991,0.000837,0.000154,96,91,0,0,8,0,8,6,1,7,0,0,0,9,8,0,Normal,0
71419,4e-06,sccopmce,-,INT,2,0,200,0,250000.0006,254,0,200000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,24,5,0,Backdoor,1
47463,0.5412,tcp,-,FIN,10,6,534,268,27.716187,254,252,7110.125977,3311.1604,2,1,55.986778,94.486203,3080.929398,147.780672,255,3574996967,682444111,255,0.119001,0.068766,0.050235,53,45,0,0,3,1,1,1,1,3,0,0,0,1,3,0,Normal,0
47304,0.0,arp,-,INT,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.712,0.0,10.954517,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,Normal,0
26827,0.230362,tcp,ftp-data,FIN,14,6,8928,320,82.478882,31,29,287929.4375,9272.362305,4,1,17.720154,45.849398,1574.225993,67.999227,255,2989601320,1419036145,255,0.000646,0.000492,0.000154,638,53,0,0,3,0,4,1,1,5,0,0,0,5,3,0,Normal,0
30781,0.001069,udp,dns,CON,2,2,146,178,2806.361109,31,29,546304.9375,666043.0625,0,0,0.009,0.006,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,5,0,2,2,1,1,0,0,0,2,4,0,Normal,0
71625,3e-06,emcon,-,INT,2,0,180,0,333333.3215,254,0,239999984.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,90,0,0,0,10,2,11,10,10,10,0,0,0,10,10,0,Backdoor,1
123645,3e-06,ipv6-frag,-,INT,2,0,200,0,333333.3215,254,0,266666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,3,3,3,7,0,0,0,4,7,0,Backdoor,1
90992,9.576091,ospf,-,INT,40,0,10880,0,4.072643,254,0,8862.071289,0.0,0,0,245.540797,0.0,285.605813,0.0,0,0,0,0,0.0,0.0,0.0,272,0,0,0,1,2,1,1,1,1,0,0,0,2,1,0,Analysis,1
101260,0.482864,tcp,-,CON,6,2,986,86,14.496836,62,252,13618.74219,712.415955,4,2,17836.70067,53390.32,1375285.894,53390.308,255,4055118573,3163660841,255,0.138021,0.088079,0.049942,164,43,0,0,6,3,3,3,2,6,0,0,0,3,6,0,Normal,0
61975,0.591204,tcp,-,FIN,8,8,364,374,25.371953,254,252,4316.615234,4438.400391,1,2,84.457712,72.568,5280.049983,134.379859,255,3871440562,337149418,255,0.124094,0.08262,0.041474,46,47,0,0,2,1,2,1,1,1,0,0,0,1,3,0,Backdoor,1
102378,0.068527,tcp,-,CON,6,2,986,86,102.14952,62,252,95962.17969,5019.919434,2,1,13.7054,0.003,832.690962,0.0,255,1234489753,2236264058,255,0.057928,0.03381,0.024118,164,43,0,0,15,3,5,5,1,13,0,0,0,6,13,0,Normal,0
41028,1.177386,tcp,-,FIN,16,12,936,642,22.932156,254,252,5965.757812,4002.085938,5,3,76.175934,103.234367,5050.107502,138.243203,255,3974278377,3185118279,255,0.108197,0.041799,0.066398,59,54,0,0,7,1,1,1,1,5,0,0,0,1,5,0,Normal,0
46642,0.462525,tcp,-,CON,6,2,978,86,15.134317,62,252,14096.53516,743.743591,2,1,92.505,0.003,4659.871379,0.0,255,128937743,3884730533,255,0.202477,0.108566,0.093911,163,43,0,0,4,3,2,1,1,4,0,0,0,1,4,0,Normal,0
48050,9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,2,2,2,7,0,0,0,11,7,0,Backdoor,1
124500,9e-06,udp,-,INT,2,0,202,0,111111.1072,254,0,89777776.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,101,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Shellcode,1
82066,9e-06,udp,-,INT,2,0,452,0,111111.1072,254,0,200888880.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,226,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode,1
112811,13.790198,ospf,-,INT,28,0,12832,0,1.957912,254,0,7178.432129,0.0,0,0,510.748063,0.0,549.45875,0.0,0,0,0,0,0.0,0.0,0.0,458,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Analysis,1
93478,0.519118,tcp,http,FIN,10,8,830,1314,32.747852,62,252,11511.83301,17722.36719,2,2,57.617444,62.126,3389.114521,81.648211,255,2371704390,1513251248,255,0.122165,0.084232,0.037933,83,164,1,250,6,1,2,2,2,6,0,0,4,2,6,0,Analysis,1
111831,9e-06,aes-sp3-d,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,1,1,1,5,0,0,0,1,5,0,Analysis,1
45186,0.41915,tcp,http,FIN,10,6,758,268,35.786712,254,252,13035.90625,4275.319336,2,1,43.461667,71.853797,2445.699554,104.865188,255,4090692275,2498192788,255,0.102378,0.059874,0.042504,76,45,1,0,5,1,1,1,1,5,0,0,1,1,5,0,Normal,0
48080,7e-06,unas,-,INT,2,0,200,0,142857.1409,254,0,114285712.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,1,1,1,4,0,0,0,9,4,0,Analysis,1
6975,0.001069,udp,dns,CON,2,2,130,162,2806.361109,31,29,486435.9375,606174.0,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,2,0,4,2,1,2,0,0,0,6,1,0,Normal,0
33926,0.33194,tcp,-,FIN,28,28,4616,2976,165.692597,31,29,107296.5,69169.125,7,7,12.28274,12.274333,735.918152,19.639375,255,35769329,39012547,255,0.000654,0.00053,0.000124,165,106,0,0,3,0,4,1,1,3,0,0,0,2,9,0,Normal,0
57495,8e-06,ipcomp,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,2,2,2,6,0,0,0,2,6,0,Analysis,1
65850,9e-06,udp,-,INT,2,0,344,0,111111.1072,254,0,152888880.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,172,0,0,0,2,2,1,1,1,1,0,0,0,1,1,0,Shellcode,1
137447,8e-06,udp,-,INT,2,0,176,0,125000.0003,254,0,88000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,88,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode,1
108808,5e-06,unas,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Backdoor,1
53123,4e-06,udp,-,INT,2,0,416,0,250000.0006,254,0,416000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,208,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Shellcode,1
41781,0.379543,tcp,-,FIN,10,6,534,268,39.521213,254,252,10138.50879,4721.467773,2,1,38.840778,66.444797,2235.474883,101.767484,255,1136948979,3396005234,255,0.090571,0.047313,0.043258,53,45,0,0,7,1,2,2,1,7,0,0,0,2,7,0,Normal,0
106848,7e-06,rsvp,-,INT,2,0,200,0,142857.1409,254,0,114285712.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,2,2,2,4,0,0,0,2,4,0,Backdoor,1
38123,0.005157,tcp,http,FIN,8,10,1032,824,3296.490259,31,29,1400814.5,1151056.875,2,2,0.685143,0.520667,45.963903,1.061251,255,1663905062,3810245904,255,0.000749,0.000468,0.000281,129,82,1,83,2,0,5,1,1,8,0,0,1,5,1,0,Normal,0
5349,0.021232,tcp,-,FIN,48,50,2974,30506,4568.575816,31,29,1097588.625,11264507.0,7,18,0.454478,0.421653,28.043531,26.598214,255,2836111095,691035834,255,0.000678,0.000562,0.000116,62,610,0,0,4,0,3,1,1,1,0,0,0,3,11,0,Normal,0
88817,0.933617,tcp,http,FIN,10,8,822,1280,18.208752,62,252,6340.930176,9597.083008,2,2,103.735222,115.186289,5486.775993,218.627781,255,3791959039,94875544,255,0.153893,0.091295,0.062598,82,160,1,140,3,1,2,2,2,3,0,0,4,2,3,0,Normal,0
43790,1.411083,tcp,-,FIN,10,8,782,354,12.047484,254,252,3991.260742,1757.515381,2,1,156.677444,185.231,9971.585723,254.26475,255,1954653427,3583993711,255,0.172183,0.114465,0.057718,78,44,0,0,6,1,2,2,2,6,0,0,0,2,6,0,Normal,0
36733,0.019959,tcp,-,FIN,52,54,3182,39076,5260.784379,31,29,1250964.375,15372713.0,7,20,0.385176,0.364774,21.464091,20.983173,255,2864780447,719698177,255,0.000767,0.000617,0.00015,61,724,0,0,11,0,1,1,1,2,0,0,0,5,1,0,Normal,0
123788,8e-06,mhrp,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,4,2,1,1,1,4,0,0,0,2,4,0,Backdoor,1
39115,0.046354,tcp,ftp-data,FIN,6,8,320,1946,280.450449,31,29,46080.16797,293912.0625,1,2,9.209,6.545,641.631317,15.726967,255,2202595574,288845732,255,0.00066,0.000535,0.000125,53,243,0,0,3,0,3,1,1,4,0,0,0,6,6,0,Normal,0
59048,5e-06,unas,-,INT,2,0,200,0,200000.0051,254,0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,2,2,2,5,0,0,0,2,5,0,Analysis,1
44273,1.349298,tcp,-,FIN,10,8,738,354,12.599144,254,252,3942.791016,1837.992798,2,1,140.994111,175.305578,8973.131778,243.715359,255,2508231827,2337696589,255,0.203382,0.122153,0.081229,74,44,0,0,11,1,6,6,5,10,0,0,0,6,11,0,Normal,0
8900,0.366421,tcp,-,FIN,28,30,5048,3080,155.558764,31,29,106282.1172,65018.10547,7,7,13.559185,12.616759,821.151712,21.482887,255,4093932455,1951581137,255,0.00066,0.000531,0.000129,180,103,0,0,5,0,6,1,1,4,0,0,0,3,4,0,Normal,0
5976,1.012656,tcp,http,FIN,14,18,1684,10168,30.612568,31,29,12355.62793,75871.76563,3,5,77.869615,59.53812,8769.928362,7682.109702,255,2805347273,656757348,255,0.000622,0.000505,0.000117,120,565,1,3924,2,0,6,2,1,3,0,0,1,4,3,0,Normal,0
41165,0.952318,tcp,-,FIN,10,8,1542,354,17.85118,254,252,11659.9707,2604.172119,2,1,101.68,123.29743,5785.726985,235.78,255,1377967985,2978051010,255,0.152522,0.089235,0.063287,154,44,0,0,3,1,1,2,1,2,0,0,0,2,2,0,Normal,0
69367,8e-06,unas,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,7,2,2,2,2,7,0,0,0,3,7,0,Analysis,1
171598,1.419577,tcp,http,FIN,12,10,892,1226,14.793139,62,252,4609.82373,6221.571777,2,2,129.052452,149.553109,8038.077454,232.804594,255,3578640146,2085557976,255,0.14414,0.07266,0.07148,74,123,1,168,3,1,1,1,1,3,0,0,1,1,3,0,Analysis,1
92672,6e-06,larp,-,INT,2,0,200,0,166666.6608,254,0,133333328.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,9,2,4,3,3,11,0,0,0,3,9,0,Analysis,1
24541,0.02508,tcp,ssh,FIN,108,114,9504,12298,8811.802542,31,29,3003509.0,3888676.25,26,31,0.245248,0.223309,17.451282,17.342136,255,3626358346,3626662543,255,0.000632,0.000506,0.000126,88,108,0,0,1,0,2,1,1,5,0,0,0,3,1,0,Normal,0
9392,0.051884,tcp,-,FIN,40,42,2558,23162,1561.174951,31,29,384704.3438,3486392.75,7,14,1.322615,1.252585,80.033874,77.996822,255,3750428675,3806497533,255,0.000944,0.000527,0.000417,64,551,0,0,8,0,1,1,1,1,0,0,0,4,2,0,Normal,0
29527,0.046243,tcp,ftp-data,FIN,6,8,320,1930,281.123625,31,29,46190.77344,292195.5625,1,2,9.1848,6.53,639.781593,15.695106,255,1424920047,1459134953,255,0.000671,0.00053,0.000141,53,241,0,0,3,0,4,1,1,4,0,0,0,6,6,0,Normal,0
142688,8e-06,ippc,-,INT,2,0,200,0,125000.0003,254,0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,1,1,1,2,0,0,0,5,2,0,Analysis,1
73619,9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,6,2,2,2,2,6,0,0,0,2,6,0,Analysis,1
5374,0.001075,udp,dns,CON,2,2,146,178,2790.69758,31,29,543255.8125,662325.5625,0,0,0.008,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,0,4,1,1,2,0,0,0,3,6,0,Normal,0
8910,0.00173,udp,-,CON,4,4,528,304,4046.242732,31,29,1831213.875,1054335.25,0,0,0.45,0.214333,0.630032,0.295337,0,0,0,0,0.0,0.0,0.0,132,76,0,0,5,0,6,1,1,4,0,0,0,3,4,0,Normal,0
30439,0.027255,tcp,-,FIN,48,50,2958,32642,3558.979932,31,29,850339.375,9389837.0,7,18,0.596889,0.557833,0.0,33.078747,255,1773186717,1794286279,255,0.000596,0.000477,0.000119,62,653,0,0,9,0,3,1,1,1,0,0,0,3,11,0,Normal,0
25462,0.164719,tcp,-,FIN,48,50,2958,33044,588.88167,31,29,140700.2188,1572811.875,7,18,3.497638,3.350102,239.199028,234.012641,255,897042038,3159822550,255,0.000685,0.000561,0.000124,62,661,0,0,7,0,7,1,1,1,0,0,0,3,10,0,Normal,0
144590,9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Backdoor,1
10050,1.453494,tcp,-,FIN,244,438,13974,548216,468.526201,31,29,76598.875,3010483.75,21,197,5.98014,3.324858,370.69219,262.121872,255,1326090061,1344578987,255,0.000651,0.000524,0.000127,57,1252,0,0,8,0,1,1,1,5,0,0,0,1,6,0,Normal,0
57961,9e-06,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,5,2,3,3,3,5,0,0,0,3,5,0,Analysis,1
7307,0.753354,tcp,-,FIN,28,30,4656,3080,75.66164,31,29,47680.10547,31623.91016,7,7,27.890555,25.958793,1695.272622,44.661926,255,3361017214,1312212060,255,0.000709,0.000544,0.000165,166,103,0,0,8,0,4,1,1,4,0,0,0,4,10,0,Normal,0
131046,4e-06,udp,-,INT,2,0,194,0,250000.0006,254,0,194000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,97,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Shellcode,1
42342,0.81249,tcp,-,FIN,28,14,24422,764,50.46216,254,252,231879.7813,6990.855469,11,4,30.092222,55.715617,2105.788985,93.690586,255,1353938883,871338028,255,0.141238,0.06823,0.073008,872,55,0,0,6,1,1,1,1,6,0,0,0,2,5,0,Normal,0
80455,1.131792,tcp,http,FIN,12,8,920,1334,16.787538,62,252,5965.760742,8255.93457,2,2,102.775545,147.452141,5564.511484,210.741031,255,477316619,853452507,255,0.184227,0.099621,0.084606,77,167,1,125,5,1,3,3,3,6,0,0,9,3,5,0,Analysis,1
